brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
MIZUNO,Mizuno Wave Creation 20 Masculino Adultos,380,90,114,27,5.0,(3)
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos 43769946,149,90,37,48,4.8,(10160)
,Tênis Bolsonaro Masculino Feminino Patriota Style Super Leve,199,90,33,32,4.7,(212)
OLYMPIKUS,Olympikus Corre 3 Sem gênero Adultos,499,99,50,,4.8,(72)
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,199,99,157,99,4.8,(2008)
RAINHA,Tênis Rainha Vl 2500 Futsal Vôlei Academia Capoeira Corrida,78,90,7,67,4.6,(970)
OLYMPIKUS,Olympikus Eros Masculino Adultos,165,75,156,24,4.8,(1688)
NIKE,Tênis Nike Revolution 7 Masculino,369,99,35,87,4.7,(1031)
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,70,99,4.5,(10949)
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,209,90,34,98,4.7,(17)
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,78,90,74,95,4.4,(1275)
,Sapatênis Ranster Masculino Couro Legítimo Azul Confort,209,90,20,40,4.8,(20)
GENERIC,Tênis De Corrida Multicoloridos Onitsuka Tiger Mexico 66,264,48,33,06,4.9,(18)
ASCENSION,Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,69,90,66,40,4.7,(2788)
UNDER ARMOUR,Under Armour Pacer Masculino Adultos,449,99,260,97,4.6,(1006)
,Tenis Sapatilha Bike Pesca Corrida Academia Neoprene Confort,53,67,17,,4.6,(742)
,Tênis Masculino Academia Rixxon Leve Promoção Barato ,87,90,62,40,4.5,(632)
OLYMPIKUS,Tênis Masculino E Feminino Esportivo Proof 3 Olympikus,199,99,162,99,4.8,(321)
MIZUNO,Tênis Mizuno Masculino 12s Leve E Confortável!,339,97,166,58,4.3,(265)
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,199,90,33,32,4.4,(32)
OLYMPIKUS,Tênis Olympikus Pride 3 Masculino Laranja Academia,349,90,34,99,,
NIKE,Tênis Nike Flex Experience Run 12 Masculino,329,99,31,99,4.4,(22)
OLYMPIKUS,Olympikus CORRIDA Reverso 2 Masculino Adultos,332,40,315,58,4.8,(94)
MIZUNO,Mizuno Space 3 Masculino Adultos,329,90,244,12,4.7,(1682)
